
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2E:82:69:44:8E:5F, 2025-10-13 16:18:30, 2025-10-13 16:18:43, 12, 720, WPA2, CCMP, PSK, -22,        8,       19,   0.  0.  0.  0,  13, AVClub_2.4GHz, 
F0:61:C0:1C:C6:01, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 130, WPA2, CCMP, MGT, -68,        2,        0,   0.  0.  0.  0,  12, Wireless@SGx, 
F0:61:C0:1C:C6:02, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 130, WPA2, CCMP, PSK, -66,        2,        0,   0.  0.  0.  0,  10, SilverGate, 
F0:61:C0:1C:C6:03, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 130, WPA2, CCMP, PSK, -68,        3,        0,   0.  0.  0.  0,  15, UnitedAsOne2025, 
F0:61:C0:20:36:A0, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 260, WPA2, CCMP, PSK, -39,        3,        0,   0.  0.  0.  0,  15, UnitedAsOne2024, 
F0:61:C0:20:36:A1, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 260, WPA2, CCMP, MGT, -39,        3,        0,   0.  0.  0.  0,  12, Wireless@SGx, 
F0:61:C0:20:36:A2, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 260, WPA2, CCMP, PSK, -39,        4,        0,   0.  0.  0.  0,   0, , 
F0:61:C0:20:36:A3, 2025-10-13 16:18:31, 2025-10-13 16:18:44,  1, 260, WPA2, CCMP, PSK, -40,        5,        0,   0.  0.  0.  0,   0, , 
F0:61:C0:20:65:21, 2025-10-13 16:18:33, 2025-10-13 16:18:42,  5, 130, WPA2, CCMP, MGT, -71,        5,        0,   0.  0.  0.  0,  12, Wireless@SGx, 
F0:61:C0:20:65:22, 2025-10-13 16:18:33, 2025-10-13 16:18:41,  5, 130, WPA2, CCMP, PSK, -69,        3,        0,   0.  0.  0.  0,  10, SilverGate, 
F0:61:C0:21:3E:41, 2025-10-13 16:18:33, 2025-10-13 16:18:42,  5, 130, WPA2, CCMP, PSK, -69,        2,        0,   0.  0.  0.  0,  10, SilverGate, 
F0:61:C0:21:3E:42, 2025-10-13 16:18:33, 2025-10-13 16:18:42,  5, 130, WPA2, CCMP, PSK, -34,        4,        0,   0.  0.  0.  0,  15, UnitedAsOne2025, 
F0:61:C0:1D:72:81, 2025-10-13 16:18:34, 2025-10-13 16:18:38,  5, 130, WPA2, CCMP, MGT, -63,        3,        0,   0.  0.  0.  0,  12, Wireless@SGx, 
F0:61:C0:1D:72:82, 2025-10-13 16:18:34, 2025-10-13 16:18:38,  5, 130, WPA2, CCMP, PSK, -51,        3,        0,   0.  0.  0.  0,  10, SilverGate, 
F0:61:C0:1D:72:83, 2025-10-13 16:18:34, 2025-10-13 16:18:39,  5, 130, WPA2, CCMP, PSK, -51,        4,        0,   0.  0.  0.  0,  15, UnitedAsOne2025, 
1C:CE:51:A9:C2:C8, 2025-10-13 16:18:38, 2025-10-13 16:18:38,  4,  54, WPA2, CCMP, PSK, -59,        1,        0,   0.  0.  0.  0,  13, DaikinAP12376, 
F0:61:C0:21:3E:40, 2025-10-13 16:18:42, 2025-10-13 16:18:42,  5, 130, WPA2, CCMP, MGT, -43,        1,        0,   0.  0.  0.  0,  12, Wireless@SGx, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
9C:EF:D5:FA:53:01, 2025-10-13 16:18:30, 2025-10-13 16:18:43,  -1,       19, 2E:82:69:44:8E:5F,
48:22:54:8D:75:68, 2025-10-13 16:18:34, 2025-10-13 16:18:42, -46,        7, (not associated) ,AVclub_Server2.4GHz
1C:CE:51:B2:44:71, 2025-10-13 16:18:37, 2025-10-13 16:18:37, -16,        1, 2E:82:69:44:8E:5F,
A0:02:A5:C4:E7:03, 2025-10-13 16:18:38, 2025-10-13 16:18:38, -42,        1, (not associated) ,
86:21:02:FC:1D:47, 2025-10-13 16:18:39, 2025-10-13 16:18:39, -68,        1, 2E:82:69:44:8E:5F,
1E:B1:B3:02:95:19, 2025-10-13 16:18:40, 2025-10-13 16:18:43, -46,        3, 2E:82:69:44:8E:5F,
B6:F6:6A:B5:B3:57, 2025-10-13 16:18:43, 2025-10-13 16:18:43, -46,        7, 2E:82:69:44:8E:5F,

